"PARENT_NAME","NAME"
"""Core""","Fact - HCM - Position Model Profile"
"""Core""","Fact - HCM - Termination Assignments (Gender)"
"""Core""","Fact - NetSuite GL Impact Adjustment"
"""Core""","Fact - HCM - HR Help Desk Request"
"""Core""","Fact - HCM - Change Requests"
"""Core""","Fact - RPD Merge - Procurement Management"
"""Core""","Fact - HCM - Assignments (Period Start)"
"""Core""","Fact - NetSuite Vendor Bill"
"""Core""","Fact - INV - Inventory Turns"
"""Core""","Fact - CX - Eloqua External Activities Summary"
"""Core""","Fact - NetSuite Subscription"
"""Core""","Fact - Receipt Accounting Accrual Balances at Receipt"
"""Core""","Fact - Assignment"
"""Core""","Fact - INV - Inventory Transactions"
"""Core""","Fact - CX - Service Request Lifecycle"
"""Core""","Fact - NetSuite Order to Cash - Customer Invoice"
"""Core""","Fact - Fins - AR Credit Memo and Applications (Pre-SLA)"
"""Core""","Fact - PRJ - Project SLA Costing"
"""EBS Core""","Fact - EBS Fins - AP Aging (Pre-SLA)"
"""Core""","Fact - CX - Eloqua Form Activities Summary"
"""Core""","Fact - HCM - Payroll Run Costing"
"""Core""","Fact - RPD Merge - ERP - Receipt Accounting"
"""Core""","Fact - RPD Merge - Absence Management"
"""Core""","Fact - CX - SF Campaign Members"
"""Core""","Fact - CX - Eloqua Email Activities"
"""Core""","Fact - CX - Eloqua Lead Activities Summary"
"""Core""","Fact - HCM - Termination Assignments (Ethnicity)"
"""Core""","Fact - NetSuite Charge"
"""Core""","Fact - Fins - AR Aging"
"""Core""","Fact - HCM - Voluntary Termination Assignments (Gender)"
"""Core""","Fact - CX - Activity"
"""Core""","Fact - CX - Eloqua Campaign Activity Analysis"
"""Core""","Fact - PRC - Requisitions"
"""Core""","Fact - NetSuite Currency Revaluation"
"""Core""","Fact - Data Validation"
"""Core""","Fact - NetSuite Budget"
"""Core""","Fact - Fins - GL Account Analysis Template"
"""Core""","Fact - NetSuite Paycheck"
"""Core""","Fact - Costing - Cogs and Gross Margin"
"""Core""","Fact - HCM - Accrual Transactions"
"""Core""","Fact - NetSuite Expense Report Snapshot"
"""Core""","Fact - RPD Merge - Workforce Compensation"
"""Core""","Fact - NetSuite Customer Payment Snapshot"
"""Core""","Fact - CX - Marketing Activities"
"""Core""","Fact - PRJ - Project Commitment"
"""Core""","Fact - OM Sales Orders"
"""Core""","Fact - NetSuite Vendor Return Authorization"
"""Core""","Fact - RPD Merge - Project Billing"
"""Core""","Fact - NetSuite Journal"
"""Core""","Fact - RPD Merge - Inventory"
"""EBS Core""","Fact - EBS Fins - AP Compound"
"""Core""","Fact - NetSuite Sales Insights Lines"
"""Core""","Fact - NetSuite Revenue Commitment Reversal"
"""Core""","Fact - CX - SF Activity"
"""Core""","Fact - RPD Merge - Seniority Dates"
"""Core""","Fact - NetSuite Timesheet"
"""Core""","Fact - NetSuite Customer Payment"
"""Core""","Fact - Fins - AP Liability Distributions"
"""Core""","Fact - NetSuite Wave"
"""Core""","Fact - Fins - GL Journals"
"""Core""","Fact - HCM - Learning Outcomes"
"""Core""","Fact - Fins - AP Invoice Schedules (Pre-SLA)"
"""Core""","Fact - NetSuite Inventory Snapshot"
"""Core""","Fact - NetSuite Revenue Commitment"
"""Core""","Fact - RPD Merge - Inventory Aging"
"""Core""","Fact - Fins - AR Adjustments"
"""Core""","Fact - PRJ - Project Forecast"
"""Core""","Fact - Hcm - Workforce Gain and Loss"
"""Core""","Fact - HCM - HNS Events"
"""Core""","Fact - NetSuite Bin Transfer"
"""Core""","Fact - NetSuite Customer Churn Prediction"
"""Core""","Fact - NetSuite Procure to Pay - Vendor Payment Activity"
"""Core""","Fact - RPD Merge - Cost Accounting"
"""Core""","Fact - RPD Merge - Manufacturing"
"""Core""","Fact - HCM - Person Seniority"
"""Core""","Fact - INV - Inventory Balances"
"""Core""","Fact - NetSuite Procure to Pay - Item Receipt"
"""Core""","Fact - HCM - Job Application (Hiring)"
"""Core""","Fact - NetSuite Assembly Build"
"""Core""","Fact - PRJ - Project Budget"
"""Core""","Fact - NetSuite Support Issue"
"""Core""","Fact - NetSuite Stockout Prediction"
"""Core""","Fact - NetSuite Invoice Group"
"""Core""","Fact - CX - Eloqua Lead Activities"
"""Core""","Fact - Manufacturing - Operation Transaction"
"""Core""","Fact - CX - Service Request Milestone"
"""Core""","Fact - Fins - AR Schedule Prediction Deciles"
"""Core""","Z - Container for Unexposed PPM Physical Objects"
"""Core""","Fact - NetSuite Customer Payment Authorization"
"""Core""","Fact - Job Requisition Event"
"""Core""","Fact - NetSuite Return Authorization"
"""Core""","Fact - HCM - Involuntary Termination Assignments (Ethnicity)"
"""Core""","Fact - NetSuite Procure to Pay - Vendor Bill"
"""Core""","Fact - HCM - Salary Basis"
"""Core""","Fact - Fins - AR Adjustments (Pre-SLA)"
"""Core""","Fact - HCM - Promotion Assignments (Age)"
"""Core""","Fact - HCM - Positions"
"""Core""","Fact - RPD Merge - Order Management"
"""Core""","Fact - NetSuite Support Case"
"""Core""","Fact - CX - Subscription Bill Line"
"""Core""","Fact - HCM - Journeys"
"""Core""","Fact - PRJ - Award Fund Allocation"
"""Core""","Fact - NetSuite Number of Days"
"""Core""","Fact - RPD Merge - Accounts Payable"
"""Core""","Fact - CX - Opportunity Header"
"""Core""","Fact - NetSuite Work Order Issue"
"""Core""","Fact - NetSuite Manufacturing Insights"
"""Core""","Fact - NetSuite Purchase Contract"
"""Core""","Fact - RPD Merge - Payroll Balances"
"""Core""","Fact - NetSuite Expense Report"
"""Core""","Fact - HCM - HNS Actions"
"""Core""","Fact - INV - Inventory Aging"
"""Core""","Fact - HCM - Work Relationship Seniority"
"""Core""","Fact - NetSuite Commission"
"""EBS Core""","Fact - EBS Fins - AP Invoice Schedules"
"""Core""","Fact - NetSuite System Journal"
"""Core""","Fact - Fins - FA Asset Analysis"
"""Core""","Fact - Fins - AP Aging (Pre-SLA)"
"""Core""","Fact - Fins - BC Balances"
"""Core""","Fact - CX - Eloqua External Activities"
"""Core""","Fact - HCM - Performance Document Task Status"
"""Core""","Fact - NetSuite Deposit"
"""EBS Core""","Fact - EBS Fins - AR Revenue (Pre-SLA)"
"""Core""","Fact - CX - Eloqua Email Activities Summary"
"""Core""","Fact - Job Application Snapshot"
"""Core""","Fact - HCM - Assignments (Promotion)"
"""Core""","Fact - HCM - Salary Assignments (Ethnicity)"
"""Core""","Fact - Fins - AP Aging"
"""Core""","Fact - NetSuite Tax Liability Cheque"
"""Core""","Fact - PRJ - Processed Time Entries"
"""Core""","Fact - NetSuite Time Tracking"
"""Core""","Fact - Fins - AR Transactions (Pre-SLA)"
"""Core""","Fact - PRJ - Reported Time Entries"
"""Core""","Fact - NetSuite Customers"
"""Core""","Fact - Security Assignment"
"""Core""","Z - Container for Unexposed Service Request"
"""Core""","Fact - NetSuite Inbound Shipment"
"""Core""","Fact - RPD Merge - B2B Service Analytics"
"""Core""","Fact - Fins - AR Receipts and Applications"
"""Core""","Z - Container for Unexposed Inventory Physical Objects"
"""Core""","Fact - NetSuite Vendor Bill Snapshot"
"""Core""","Fact - Receipt Accounting Accrual Balances at Period End"
"""Core""","Fact - RPD Merge - GL Budgets Analysis"
"""Core""","Fact - NetSuite Vendor Prepayment Application"
"""Core""","Fact - NetSuite Inventory Worksheet"
"""Core""","Fact - Costing - Inventory Valuation"
"""Core""","Fact - RPD Merge - Cost Management"
"""Core""","Fact - NetSuite Bin Putaway Worksheet"
"""Core""","Fact - Dynamic Time Filters For Appshell"
"""Core""","Fact - NetSuite Store Pickup Fulfillment"
"""Core""","Fact - RPD Merge - Opportunity Marketplace - Gigs"
"""Core""","Fact - NetSuite Estimate"
"""Core""","Fact - NetSuite Compound Spend"
"""Core""","Fact - RPD Merge - Receipt Accounting"
"""Core""","Fact - Fins - AR Transactions"
"""Core""","Fact - CX - Campaign Opportunity Revenue Line"
"""Core""","Fact - NetSuite Work Order Snapshot"
"""Core""","Fact - RPD Merge - Customer Experience Subscription Analytics"
"""Core""","Fact - Fins - AR Credit Memo and Applications"
"""Core""","Fact - HCM - Payroll Run Balances"
"""Core""","Fact - HCM - Learning Enrollments"
"""Core""","Fact - CX - Opportunity Activity"
"""Core""","Fact - HCM - Processed Time Entries"
"""Core""","Fact - PRC - Receipts"
"""Core""","Fact - NetSuite Order to Cash - Customer Refund"
"""Core""","Fact - Fins - Period Days Count for AP BU"
"""Core""","Fact - HCM - Gig"
"""Core""","Fact - CX - SF Opportunity Line Item"
"""Core""","Fact - RPD Merge - Learning Management"
"""Core""","Z - Container for Unexposed Common Physical Objects"
"""Core""","Fact - HCM - Favored Gig"
"""Core""","Fact - Compound - NetSuite Financials"
"""Core""","Fact - NetSuite Purchase Order Snapshot"
"""Core""","Fact - NetSuite Item Fulfillment"
"""Core""","Z - Container for Unexposed Procurement Physical Objects"
"""Core""","Fact - HCM - HNS Incidents"
"""Core""","Fact - RPD Merge - Project Control"
"""Core""","Fact - HCM - Talent Review Meeting"
"""Core""","Fact - HCM - Gig Application"
"""Core""","Fact - HCM - Hiring (Gender)"
"""Core""","Fact - NetSuite Customer Deposit"
"""Core""","Fact - OM Draft Sales Orders"
"""Core""","Fact - RPD Merge - Time and Labor"
"""Core""","Fact - NetSuite Cash Refund"
"""Core""","Fact - HCM - Termination Assignments (Age)"
"""EBS Core""","Fact - EBS Fins - AP Invoice Schedules (Pre-SLA)"
"""Core""","Fact - RPD Merge - Reconciliation"
"""Core""","Fact - NetSuite Sales Insights"
"""Core""","Fact - RPD Merge - HR Help Desk"
"""Core""","Fact - Job Application Event"
"""Core""","Fact - NetSuite Deposit Application"
"""Core""","Fact - HCM - Involuntary Termination Assignments (Gender)"
"""Core""","Fact - RPD Merge - Accounts Receivable"
"""Core""","Fact - NetSuite Order to Cash - Return Authorization"
"""Core""","Fact - Fins - GL Balance"
"""Core""","Fact - NetSuite Customer Invoice Snapshot"
"""Core""","Fact - NetSuite Work Order Completion"
"""Core""","Fact - CX - SF Opportunity"
"""Core""","Fact - HCM - Gig Teammate"
"""Core""","Fact - NetSuite Netting Settlement"
"""Core""","Fact - RPD Merge - Workforce Management"
"""Core""","Fact - HCM - Performance Goals"
"""Core""","Fact - HCM - Promotion Assignments (Ethnicity)"
"""Core""","Fact - HCM - Accrual Donations"
"""Core""","Fact - HCM - Development Goals"
"""Core""","Fact - RPD Merge - Marketing Campaign Closed Loop Analytics"
"""Core""","Fact - RPD Merge - Sales Pipeline"
"""Core""","Fact - PRJ - Project Contract"
"""Core""","Fact - PRJ - Project Costing"
"""Core""","Fact - HCM - HNS Worker Absences"
"""Core""","Fact - HCM - Performance Document Status"
"""Core""","Fact - HCM - Hiring (Ethnicity)"
"""Core""","Fact - RPD Merge -  Marketing Campaign Analytics"
"""Core""","Fact - RPD Merge - Project Labor Distribution"
"""Core""","Fact - NetSuite Order to Cash - Order Fulfillment"
"""Core""","Z - Container for Unexposed Financials Physical Objects"
"""Core""","Fact - CX - Opportunity Snapshot"
"""Core""","Fact - NetSuite Vendor Return Authorization Snapshot"
"""Core""","Fact - RPD Merge"
"""Core""","Fact - CX - Eloqua Form Activities"
"""EBS Core""","Fact - EBS Fins - AR Credit Memo and Applications (Pre-SLA)"
"""EBS Core""","Fact - EBS Fins - AR Transactions (Pre-SLA)"
"""Core""","Fact - NetSuite Order to Cash - Customer Payment Activity"
"""Core""","Fact - NetSuite Purchase Requisition"
"""Core""","Fact - NetSuite Procure to Pay - Vendor Return Authorization"
"""Core""","Fact - RPD Merge - Customer Experience Subscription Historical Trend"
"""Core""","Fact - Manufacturing - Materials"
"""EBS Core""","Fact - EBS RPD Merge - Accounts Payable"
"""Core""","Fact - NetSuite Revenue Plan"
"""Core""","Fact - HCM - Compensation Budget"
"""Core""","Fact - CX - Opportunity Quote"
"""Core""","Fact - Fins - AR Aging (Pre-SLA)"
"""EBS Core""","Fact - EBS Fins - AR Revenue"
"""Core""","Fact - CX - SF Opportunity Activity"
"""Core""","Fact - Fins - EXM Employee Expenses"
"""Core""","Fact - NetSuite Item Fulfillment Snapshot"
"""Core""","Fact - CX - Subscriptions"
"""Core""","Fact - NetSuite Credit Card Charge"
"""Core""","Fact - HCM - HR Help Desk Request Milestone"
"""Core""","Fact - NetSuite Item Receipt"
"""Core""","Fact - HCM - Compensation Component"
"""Core""","Fact - HCM - Salary Assignments (Gender)"
"""Core""","Fact - Manufacturing - Work Order"
"""Core""","Fact - RPD Merge - General Ledger"
"""Core""","Fact - Fins - AP Compound"
"""Core""","Fact - Usage Tracking Statistics"
"""Core""","Fact - NetSuite Vendor Bill Payment"
"""Core""","Fact - RPD Merge - Journeys"
"""Core""","Fact - HCM - Reported Time Entries"
"""Core""","Fact - NetSuite Inventory Status Change"
"""Core""","Fact - NetSuite Inventory Count"
"""Core""","Fact - Fins - FA Asset Transactions"
"""Core""","Fact - NetSuite Paycheck Journal"
"""Core""","Fact - NetSuite Manufacturing Metrics"
"""Core""","Fact - CX - Subscription Historical Trend"
"""Core""","Fact - HCM - Absence Entries"
"""Core""","Fact - HCM - Succession Plan Candidates"
"""Core""","Fact - RPD Merge - Procurement Management (SCM)"
"""Core""","Fact - NetSuite Customer Invoice"
"""Core""","Fact - HCM - Accrual Balances"
"""Core""","Fact - PRJ - Project Invoice"
"""Core""","Fact - RPD Merge - Enterprise Contracts"
"""Core""","Fact - CX - Opportunity Revenue Line"
"""Core""","Fact - NetSuite Item"
"""Core""","Fact - HCM - HR Help Desk Request Lifecycle"
"""Core""","Fact - RPD Merge - Talent Profile"
"""Core""","Fact - HCM - Succession Plan"
"""Core""","Fact - HCM - Voluntary Termination Assignments (Ethnicity)"
"""Core""","Fact - Fins - GL Budget"
"""EBS Core""","Fact - EBS Fins - AP Payments"
"""Core""","Fact - Fins - AP Expense Distributions (Pre-SLA)"
"""Core""","Fact - RPD Merge - Budgetary Control"
"""Core""","Fact - RPD Merge - Expense Management"
"""Core""","Fact - NetSuite Sales Order"
"""Core""","Fact - Dummy"
"""Core""","Fact - Fins - AR Revenue (Pre-SLA)"
"""Core""","Fact - Data Augmentation"
"""Core""","Fact - HCM - Costing of Payment"
"""EBS Core""","Fact - EBS Fins - AP Aging"
"""Core""","Fact - CX - SF Leads"
"""Core""","Fact - PRJ - Labor Schedules"
"""EBS Core""","Fact - EBS Fins - AP Expense Distributions (Pre-SLA)"
"""Core""","Fact - CX - Eloqua Landing Page Activities"
"""Core""","Fact - Multiple Calendar Driving Dimension Metadata for Appshell"
"""Core""","Fact - NetSuite Credit Card Refund"
"""Core""","Fact - RPD Merge - Position Management"
"""Core""","Fact - NetSuite Order to Cash - Revenue Recognition"
"""Core""","Fact - RPD Merge - Inventory Balance"
"""Core""","Fact - PRJ - Labor Cost Distributions"
"""Core""","Fact - CX - Campaign Members"
"""Core""","Fact - Fins - GL SLA Reconciliation"
"""Core""","Fact - Costing - Item Cost"
"""EBS Core""","Fact - EBS Fins - AR Adjustments"
"""Core""","Fact - Fins - AP Holds"
"""Core""","Fact - Content Explorer - Business Question"
"""Core""","Fact - HCM - Learning Ratings"
"""Core""","Fact - CX - Eloqua Web Activities"
"""EBS Core""","Fact - EBS Fins - AP Liability Distributions (Pre-SLA)"
"""Core""","Fact - HCM - Goal Plan Assignments"
"""Core""","Fact - CX - SF Campaign Influence"
"""Core""","Fact - NetSuite Inventory Item Location Quantity"
"""Core""","Fact - RPD Merge - Marketing Campaign Activity Detail Analytics"
"""EBS Core""","Fact - EBS Fins - AP Holds"
"""Core""","Fact - RPD Merge - Draft Order Management"
"""Core""","Fact - NetSuite Statistical Journal"
"""Core""","Fact - NetSuite Vendor Bill Credit"
"""Core""","Fact - HCM - Performance Other Rating"
"""Core""","Fact - HCM - Assignments (Period End)"
"""Core""","Fact - Content Explorer - Key Metric"
"""Core""","Fact - Multiple Calendar Driving Dimension for Functional Areas"
"""Core""","Fact - Maintenance - Resources"
"""Core""","Fact - NetSuite Inventory Turnover"
"""Core""","Fact - HCM - Person Profile History"
"""Core""","Fact - Usage Tracking - Physical Query"
"""Core""","Fact - HCM - Absence Daily Details"
"""Core""","Fact - PRC - Purchase Orders"
"""Core""","Fact - Content Explorer - Subject Areas"
"""Core""","Fact - NetSuite Markdown Prediction"
"""Core""","Fact - RPD Merge - Purchasing History (SCM)"
"""Core""","Fact - NetSuite Work Order"
"""Core""","Fact - NetSuite Revenue Arrangement"
"""Core""","Fact - Tenant Metrics"
"""Core""","Fact - Maintenance - Materials"
"""Core""","Fact - RPD Merge - Sales CPQ Integrated Analytics"
"""Core""","Fact - RPD Merge - Sales Forecasting Prediction"
"""Core""","Fact - RPD Merge - Person Talent Profile Management"
"""Core""","Fact - Content Explorer - Workbooks"
"""Core""","Fact - CX - Campaign Opportunity Revenue"
"""Core""","Fact - RPD Merge - Purchasing History"
"""Core""","Fact - Picking and Shipping"
"""Core""","Fact - OM Sales Order Holds"
"""Core""","Fact - RPD Merge - Salary Basis"
"""Core""","Fact - RPD Merge - Account Analysis Foundation"
"""EBS Core""","Fact - EBS Fins - AP Payments (Pre-SLA)"
"""Core""","Fact - Maintenance - Work Orders"
"""Core""","Fact - NetSuite Inventory Transfer"
"""Core""","Fact - HCM - Compensation Person Information"
"""Core""","Fact - NetSuite Opportunity"
"""Core""","Fact - PRJ - Project SLA Revenue"
"""Core""","Fact - RPD Merge - Purchasing"
"""Core""","Fact - RPD Merge - Purchasing (SCM)"
"""EBS Core""","Fact - EBS Fins - AR Aging (Pre-SLA)"
"""Core""","Fact - NetSuite Revenue Arrangement Snapshot"
"""Core""","Fact - NetSuite Ownership Transfer"
"""Core""","Fact - Fins - AR Revenue"
"""Core""","Fact - NetSuite Procurement Spend Analysis"
"""Core""","Fact - HCM - Hiring (Age)"
"""Core""","Fact - NetSuite Cash Sale"
"""EBS Core""","Fact - EBS Fins - AR Receipts and Applications"
"""Core""","Fact - Fins - AP Expense Distributions"
"""Core""","Fact - HCM - Performance Document Goal Rating"
"""Core""","Fact - NetSuite Inbound Shipment Snapshot"
"""Core""","Fact - PRJ - Award Funding"
"""Core""","Fact - NetSuite Inventory FSN Analysis"
"""Core""","Fact - CX - Opportunity Revenue Line Prediction Snapshot"
"""Core""","Fact - RPD Merge - Performance Management and Check-Ins"
"""Core""","Fact - RPD Merge - Talent Review"
"""Core""","Fact - CX - Lead Activity"
"""Core""","Fact - HCM - Performance Overall Rating"
"""Core""","Fact - Fins - AP Payments (Pre-SLA)"
"""Core""","Fact - NetSuite Commission Snapshot"
"""Core""","Fact - Costing - Work Order Cost"
"""EBS Core""","Fact - EBS RPD Merge - Accounts Receivable"
"""Core""","Fact - CX - Eloqua Campaign Activity Detail Analysis"
"""Core""","Fact - RPD Merge - Work Order Costing"
"""Core""","Fact - CX - SF Lead Activity"
"""Core""","Fact - SUS - Emissions"
"""Core""","Fact - OKC - Enterprise Contracts"
"""Core""","Fact - RPD Merge - Talent Acquisition"
"""Core""","Fact - OM Draft Sales Orders Holds"
"""EBS Core""","Fact - EBS Fins - AP Expense Distributions"
"""Core""","Fact - HCM - Person Profile Matching"
"""Core""","Fact - NetSuite Statement Charge"
"""Core""","Fact - NetSuite Opportunity Snapshot"
"""Core""","Fact - HCM - Performance Document Content Item Rating"
"""Core""","Fact - PRC - Purchase Order Change Orders"
"""Core""","Fact - PRJ - Project Revenue"
"""Core""","Fact - CX - SF Primary Campaign Influence"
"""EBS Core""","Fact - EBS Fins - AR Aging"
"""EBS Core""","Fact - EBS Fins - AR Adjustments (Pre-SLA)"
"""Core""","Fact - PRJ - Award Budget Period"
"""Core""","Fact - Multiple Calendar Driving Dimension Values for Appshell"
"""EBS Core""","Fact - EBS Fins - Period Days Count for AP BU"
"""Core""","Fact - Fins - Period Days Count"
"""Core""","Fact - HCM - Assignments (Termination)"
"""Core""","Fact - NetSuite Sales Order Snapshot"
"""Core""","Fact - HCM - Job Model Profile"
"""Core""","Fact - NetSuite Work Order Close"
"""Core""","Fact - RPD Merge - Assets"
"""Core""","Fact - HCM - Involuntary Termination Assignments (Age)"
"""Core""","Fact - Warehouse Refresh Summary"
"""Core""","Fact - Fins - GL Account Analysis Foundation"
"""Core""","Fact - CX - Lead"
"""Core""","Fact - NetSuite Total Customers"
"""Core""","Fact - RPD Merge - Sustainability (SCM)"
"""Core""","Fact - Security Audit History"
"""EBS Core""","Fact - EBS Fins - AR Transactions"
"""Core""","Fact - RPD Merge - Sustainability"
"""Core""","Fact - NetSuite Cross Charge Journal"
"""Core""","Fact - Maintenance - Operation Transaction"
"""Core""","Fact - HCM - Voluntary Termination Assignments (Age)"
"""Core""","Fact - CX - Service Request"
"""Core""","Fact - NetSuite Credit Memo"
"""Core""","Fact - NetSuite Fulfillment Request"
"""Core""","Fact - PRJ - Project Event"
"""Core""","Fact - Fins - Supporting Reference Balance Template"
"""Core""","Fact - INV Transfer Orders"
"""Core""","Fact - NetSuite Customer Refund"
"""Core""","Fact - CX - SF Opportunity Stage Progression"
"""Core""","Fact - Assignment Event"
"""Core""","Fact - RPD Merge - CX Resource HCM Worker Analytics"
"""Core""","Fact - HCM - Succession Plan Incumbents"
"""Core""","Fact - NetSuite Vendor Prepayment"
"""EBS Core""","Fact - EBS Fins - GL Balance"
"""Core""","Fact - Manufacturing - Resources"
"""Core""","Fact - NetSuite Inventory Aging"
"""Core""","Fact - HCM - Promotion Assignments (Gender)"
"""Core""","Fact - Multiple Calendar Time Filters for Appshell"
"""Core""","Fact - HCM - Assignment Seniority"
"""EBS Core""","Fact - EBS Fins - AR Credit Memo and Applications"
"""Core""","Fact - Fins - AP Schedule Prediction Buckets"
"""Core""","Fact - PRC - Spend"
"""Core""","Fact - PRC - Agreements"
"""Core""","Fact - NetSuite Work Breakdown Structure"
"""Core""","Fact - HCM - Assignments (Salary)"
"""Core""","Fact - RPD Merge - Inventory Turns"
"""Core""","Fact - NetSuite Assembly Unbuild"
"""Core""","Fact - Costing - Cost Accounting"
"""Core""","Fact - PRJ - Project Funding"
"""Core""","Fact - HCM - Check-Ins"
"""Core""","Fact - NetSuite Transfer"
"""Core""","Fact - NetSuite Return Authorization Snapshot"
"""Core""","Fact - RPD Merge - Succession Management"
"""Core""","Fact - HCM - Plan Enrollments"
"""Core""","Fact - NetSuite Inventory Adjustment"
"""Core""","Fact - PRC - Procurement Anomaly Detection"
"""Core""","Fact - PRJ - Project Asset"
"""Core""","Fact - HCM - HNS Investigations"
"""Core""","Fact - Fins - Accounting Hub Transactions Template"
"""Core""","Fact - NetSuite Sales Tax Payment"
"""Core""","Fact - CX - Opportunity Stage Progression"
"""Core""","Fact - NetSuite Transfer Order"
"""EBS Core""","Fact - EBS Fins - AR Receipts and Applications (Pre-SLA)"
"""Core""","Fact - NetSuite Purchase Order"
"""Core""","Fact - Content Usage Insight"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - SCP - Planning Dummy"
"""Core""","Fact - Fins - AP Payments"
"""Core""","Fact - CX - Opportunity Revenue Line Snapshot"
"""Core""","Fact - Fins - BC Transactions"
"""Core""","Fact - RPD Merge - Goals and Career Development"
"""EBS Core""","Fact - EBS Fins - Period Days Count"
"""Core""","Fact - Inventory Receipts"
"""Core""","Fact - Fins - AP Liability Distributions (Pre-SLA)"
"""Core""","Fact - NetSuite Check"
"""Core""","Fact - HCM - Salary Assignments (Age)"
"""Core""","Fact - RPD Merge - Grants Management"
"""EBS Core""","Fact - EBS Fins - AP Liability Distributions"
"""Core""","Fact - Receipt Accounting"
"""Core""","Fact - CX - SF Opportunity Historical Trend"
"""Core""","Z - Container for Unexposed Subscription Physical Objects"
"""Core""","Fact - NetSuite Inventory Cost Revaluation"
"""Core""","Fact - RPD Merge - Project Costing"
"""EBS Core""","Fact - EBS RPD Merge - General Ledger"
"""Core""","Fact - Job Requisition Snapshot"
"""EBS Core""","Fact - EBS Fins - GL Journals"
"""Core""","Fact - HCM - Person Profile"
"""Core""","Fact - Fins - AR Receipts and Applications (Pre-SLA)"
"""Core""","Fact - RPD Merge - Sales Pipeline Snapshot"
"""Core""","Fact - RPD Merge - Payroll Costing"
"""Core""","Fact - PRJ - Project Forecast Compound"
"""Core""","Fact - CX - IC - Transactions"
"""Core""","Fact - RPD Merge - Enterprise Contracts (SCM)"
"""Core""","Fact - CX - Opportunity Quote Line"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - AP Invoice Schedules"
"""Core""","Fact - Fins - GL Journals"
"""Core""","Fact - Fins - GL Balance"
"""Core""","Fact - Fins - GL Journals"
"""Core""","Fact - Fins - GL Balance"
"""Core""","Fact - Fins - GL Journals"
"""Core""","Fact - Fins - GL Balance"
"""Core""","Fact - Fins - GL Journals"
"""Core""","Fact - Fins - GL Balance"
"""Core""","Fact - Fins - GL Journals"
"""Core""","Fact - Fins - GL Balance"
